State,Coordinates
Uttar Pradesh,"{'Latitude': 26.4232, 'Longitude': 83.8222}"
Uttar Pradesh,"{'Latitude': 26.1269, 'Longitude': 83.2337}"
Uttar Pradesh,"{'Latitude': 25.1444, 'Longitude': 82.5816}"
Uttar Pradesh,"{'Latitude': 25.2872, 'Longitude': 83.11}"
Uttar Pradesh,"{'Latitude': 25.6882, 'Longitude': 82.4191}"
Uttar Pradesh,"{'Latitude': 25.9648, 'Longitude': 84.537}"
Uttar Pradesh,"{'Latitude': 26.2668, 'Longitude': 83.0057}"
Uttar Pradesh,"{'Latitude': 24.1169, 'Longitude': 82.6621}"
Uttar Pradesh,"{'Latitude': 25.887, 'Longitude': 82.4489}"
Uttar Pradesh,"{'Latitude': 26.1517, 'Longitude': 83.3301}"
Uttar Pradesh,"{'Latitude': 26.0532, 'Longitude': 83.1806}"
Uttar Pradesh,"{'Latitude': 25.7874, 'Longitude': 83.6693}"
Uttar Pradesh,"{'Latitude': 26.8074, 'Longitude': 84.5182}"
Uttar Pradesh,"{'Latitude': 27.2497, 'Longitude': 83.279}"
Uttar Pradesh,"{'Latitude': 25.7924, 'Longitude': 84.1958}"
Uttar Pradesh,"{'Latitude': 27.2754, 'Longitude': 83.0846}"
Uttar Pradesh,"{'Latitude': 26.7362, 'Longitude': 83.7037}"
Uttar Pradesh,"{'Latitude': 25.2102, 'Longitude': 83.3906}"
Uttar Pradesh,"{'Latitude': 26.4552, 'Longitude': 82.7713}"
Uttar Pradesh,"{'Latitude': 25.7603, 'Longitude': 84.1545}"
Uttar Pradesh,"{'Latitude': 26.7515, 'Longitude': 83.3707}"
Uttar Pradesh,"{'Latitude': 26.0106, 'Longitude': 82.9699}"
Uttar Pradesh,"{'Latitude': 24.6979, 'Longitude': 83.0663}"
Uttar Pradesh,"{'Latitude': 24.474, 'Longitude': 82.5468}"
Uttar Pradesh,"{'Latitude': 25.3884, 'Longitude': 83.3812}"
Uttar Pradesh,"{'Latitude': 25.1369, 'Longitude': 83.2966}"
Uttar Pradesh,"{'Latitude': 25.6048, 'Longitude': 83.3984}"
Uttar Pradesh,"{'Latitude': 27.0915, 'Longitude': 84.0955}"
Uttar Pradesh,"{'Latitude': 24.9057, 'Longitude': 84.1838}"
Uttar Pradesh,"{'Latitude': 25.8589, 'Longitude': 83.8524}"
Uttar Pradesh,"{'Latitude': 25.8929, 'Longitude': 82.4532}"
Uttar Pradesh,"{'Latitude': 26.9102, 'Longitude': 83.9521}"
Uttar Pradesh,"{'Latitude': 25.4669, 'Longitude': 84.4192}"
Uttar Pradesh,"{'Latitude': 26.5056, 'Longitude': 83.0145}"
Uttar Pradesh,"{'Latitude': 26.9508, 'Longitude': 84.5377}"
Uttar Pradesh,"{'Latitude': 26.2174, 'Longitude': 84.3625}"
Uttar Pradesh,"{'Latitude': 25.4018, 'Longitude': 82.5685}"
Uttar Pradesh,"{'Latitude': 25.8763, 'Longitude': 84.3119}"
Uttar Pradesh,"{'Latitude': 26.9238, 'Longitude': 83.7076}"
Uttar Pradesh,"{'Latitude': 26.3688, 'Longitude': 83.6319}"
Uttar Pradesh,"{'Latitude': 26.1116, 'Longitude': 84.511}"
Uttar Pradesh,"{'Latitude': 25.7702, 'Longitude': 84.3456}"
Uttar Pradesh,"{'Latitude': 27.313, 'Longitude': 82.4157}"
Uttar Pradesh,"{'Latitude': 25.5217, 'Longitude': 82.811}"
Uttar Pradesh,"{'Latitude': 26.7531, 'Longitude': 83.3664}"
Uttar Pradesh,"{'Latitude': 26.0072, 'Longitude': 83.5159}"
Uttar Pradesh,"{'Latitude': 24.7318, 'Longitude': 83.4072}"
Uttar Pradesh,"{'Latitude': 25.3698, 'Longitude': 83.2912}"
Uttar Pradesh,"{'Latitude': 25.7004, 'Longitude': 82.7079}"
Uttar Pradesh,"{'Latitude': 26.5524, 'Longitude': 82.6584}"
Uttar Pradesh,"{'Latitude': 25.8999, 'Longitude': 82.972}"
Uttar Pradesh,"{'Latitude': 26.0073, 'Longitude': 83.9686}"
Uttar Pradesh,"{'Latitude': 26.3628, 'Longitude': 84.1693}"
Uttar Pradesh,"{'Latitude': 25.9222, 'Longitude': 82.195}"
Uttar Pradesh,"{'Latitude': 27.3942, 'Longitude': 82.9578}"
Uttar Pradesh,"{'Latitude': 25.6031, 'Longitude': 83.983}"
Uttar Pradesh,"{'Latitude': 27.0091, 'Longitude': 82.3593}"
Uttar Pradesh,"{'Latitude': 25.7632, 'Longitude': 84.1487}"
Uttar Pradesh,"{'Latitude': 25.1428, 'Longitude': 82.5654}"
Uttar Pradesh,"{'Latitude': 26.1277, 'Longitude': 83.7403}"
Uttar Pradesh,"{'Latitude': 25.548, 'Longitude': 83.991}"
Uttar Pradesh,"{'Latitude': 25.4195, 'Longitude': 84.2364}"
Uttar Pradesh,"{'Latitude': 27.5301, 'Longitude': 82.5315}"
Uttar Pradesh,"{'Latitude': 24.7541, 'Longitude': 82.7809}"
Uttar Pradesh,"{'Latitude': 26.7964, 'Longitude': 82.7385}"
Uttar Pradesh,"{'Latitude': 25.4157, 'Longitude': 83.5598}"
Uttar Pradesh,"{'Latitude': 25.2226, 'Longitude': 84.2636}"
Uttar Pradesh,"{'Latitude': 27.1686, 'Longitude': 84.3281}"
Uttar Pradesh,"{'Latitude': 24.1364, 'Longitude': 83.9132}"
Uttar Pradesh,"{'Latitude': 25.5421, 'Longitude': 83.0024}"
Uttar Pradesh,"{'Latitude': 25.5407, 'Longitude': 83.2214}"
Uttar Pradesh,"{'Latitude': 25.2542, 'Longitude': 82.9588}"
Uttar Pradesh,"{'Latitude': 25.7747, 'Longitude': 84.1422}"
Uttar Pradesh,"{'Latitude': 25.7749, 'Longitude': 84.3007}"
